installationidentifier,account_holder,registry_code,installation_name,year,allocated,verified_emiss,nacerev2,ln_emissions,inst_num,firm_num,treated,post_2009,post_2010,post_2011,post_2012,post_2013,post_2014,post_2015,post_2016,post_2017,post,post_treated,post_2009_treated,post_2010_treated,post_2011_treated,post_2012_treated,post_2013_treated,post_2014_treated,post_2015_treated,post_2016_treated,post_2017_treated,fuel_type,gas,coal,one_inst_firm,coal_one_inst_firm,gas_one_inst_firm,coal_multi_inst,gas_multi_inst,final_electricity_consumption,RE,GDP,net_exports,Coal_EUR_MWh,Gas_EUR_MWh,EUA_price,ln_final_electricity_consumption,ln_RE,ln_GDP,net_ac_ext_inst,net_ac_tot_inst,annual_change_bank_inst,bank_inst,annual_change_bank_inst_1000,net_ac_ext_inst_1000
33,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Nord Salzburg,2012,61991,43014,35.30,10.669280923080928,224,132,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,gas,1,0,0,0,0,0,1,62952.105,55103.88,306617.4,-2.8029660000000005,11.098114,25.154446,7.3978295,11.050129478150904,10.916975410084683,12.633355995277258,0,31201,-11813,71882,-11.813,0
33,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Nord Salzburg,2013,32492,38286,35.30,10.552839573096401,224,132,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,gas,1,0,0,0,0,0,1,63546.708,54171.606,306695.6,-7.270453999999998,9.4058161,27.330641,4.4753876,11.059530473544923,10.899912175618782,12.633611003732724,38077,38077,60676,132558,60.676,38.077
33,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Nord Salzburg,2014,28393,39473,35.30,10.583372172862495,224,132,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,gas,1,0,0,0,0,0,1,62557.42,53803.531,308723.7,-9.274725000000002,8.6029577,21.172882,5.9741473,11.043840133959577,10.893094375966452,12.64020198110988,39473,39473,25154,157712,25.154,39.473
33,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Nord Salzburg,2015,25154,39411,35.30,10.581800244137618,224,132,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,gas,1,0,0,0,0,0,1,63482.625,50803.337,311855.7,-10.061516,7.7217555,20.061985,7.6906977,11.058521525392196,10.835717320385525,12.650295859805507,0,0,-17395,140317,-17.395,0
33,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Nord Salzburg,2016,22016,39367,35.30,10.580683180882003,224,132,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,gas,1,0,0,0,0,0,1,64427.642,53959.019,318350.4,-7.159271,8.1366539,14.393778,5.3516278,11.07329804360483,10.895980130023,12.670907941923101,0,0,-20390,119927,-20.39,0
33,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Nord Salzburg,2017,18977,39436,35.30,10.582434383694933,224,132,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,gas,1,0,0,0,0,0,1,65286.469,54735.94,326234.2,-6.545915000000001,11.171968,17.538269,5.8331394,11.086540080929264,10.910275811046075,12.695370807327539,0,0,-23399,96528,-23.399,0
43,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Mitte Linz Linie 1a,2009,272540,198981,35.11,12.20096462176144,292,177,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,gas,1,0,0,0,0,0,1,59201.268,49949.919,290558.8,-0.7801859999999978,7.5909157,11.825696,13.213984,10.988698239561634,10.818776162453764,12.57956124443059,0,-38000,35559,298551,35.559,0
43,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Mitte Linz Linie 1a,2010,272540,190586,35.11,12.157858815248456,292,177,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,gas,1,0,0,0,0,0,1,62071.793,48174.578,295896.6,-2.4366229999999995,10.548177,16.942703,14.380888,11.036046945731261,10.78258673351405,12.597765347953919,-132000,-115024,-33070,265481,-33.07,-132
43,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Mitte Linz Linie 1a,2011,272540,153809,35.11,11.943466851896861,292,177,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,gas,1,0,0,0,0,0,1,62132.291,44409.141,304545.1,-8.19936,13.23881,22.179193,13.058799,11.037021116673731,10.70120060560865,12.626574466823097,-218000,-218000,-99269,166212,-99.269,-218
43,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Mitte Linz Linie 1a,2012,272540,101870,35.11,11.531452769584112,292,177,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,gas,1,0,0,0,0,0,1,62952.105,55103.88,306617.4,-2.8029660000000005,11.098114,25.154446,7.3978295,11.050129478150904,10.916975410084683,12.633355995277258,-24000,39474,-62396,103816,-62.396,-24
