installationidentifier,account_holder,registry_code,installation_name,year,allocated,verified_emiss,nacerev2
18,WIEN ENERGIE GmbH,AT,FHKW Süd Inzersdorf,2011,6952,2017,35.30
18,WIEN ENERGIE GmbH,AT,FHKW Süd Inzersdorf,2012,6952,21164,35.30
18,WIEN ENERGIE GmbH,AT,FHKW Süd Inzersdorf,2013,2702,64742,35.30
18,WIEN ENERGIE GmbH,AT,FHKW Süd Inzersdorf,2014,2419,45943,35.30
18,WIEN ENERGIE GmbH,AT,FHKW Süd Inzersdorf,2015,2142,31223,35.30
18,WIEN ENERGIE GmbH,AT,FHKW Süd Inzersdorf,2016,1874,22436,35.30
18,WIEN ENERGIE GmbH,AT,FHKW Süd Inzersdorf,2017,1615,48176,35.30
19,WIEN ENERGIE GmbH,AT,FHKW Kagran Fernwärme Wien,2009,4907,6581,35.30
19,WIEN ENERGIE GmbH,AT,FHKW Kagran Fernwärme Wien,2010,4907,3796,35.30
19,WIEN ENERGIE GmbH,AT,FHKW Kagran Fernwärme Wien,2011,4907,1010,35.30
19,WIEN ENERGIE GmbH,AT,FHKW Kagran Fernwärme Wien,2012,4907,1426,35.30
19,WIEN ENERGIE GmbH,AT,FHKW Kagran Fernwärme Wien,2013,1851,2619,35.30
19,WIEN ENERGIE GmbH,AT,FHKW Kagran Fernwärme Wien,2014,3312,25,35.30
19,WIEN ENERGIE GmbH,AT,FHKW Kagran Fernwärme Wien,2015,0,6,35.30
19,WIEN ENERGIE GmbH,AT,FHKW Kagran Fernwärme Wien,2016,0,1,35.30
19,WIEN ENERGIE GmbH,AT,FHKW Kagran Fernwärme Wien,2017,0,1,35.30
20,WIEN ENERGIE GmbH,AT,FW Leopoldau Fernwärme Wien,2009,3435,2593,35.30
20,WIEN ENERGIE GmbH,AT,FW Leopoldau Fernwärme Wien,2010,3435,3766,35.30
20,WIEN ENERGIE GmbH,AT,FW Leopoldau Fernwärme Wien,2011,3435,385,35.30
20,WIEN ENERGIE GmbH,AT,FW Leopoldau Fernwärme Wien,2012,3435,5474,35.30
20,WIEN ENERGIE GmbH,AT,FW Leopoldau Fernwärme Wien,2013,2299,46068,35.30
20,WIEN ENERGIE GmbH,AT,FW Leopoldau Fernwärme Wien,2014,2058,39383,35.30
20,WIEN ENERGIE GmbH,AT,FW Leopoldau Fernwärme Wien,2015,1822,30146,35.30
20,WIEN ENERGIE GmbH,AT,FW Leopoldau Fernwärme Wien,2016,1595,24269,35.30
20,WIEN ENERGIE GmbH,AT,FW Leopoldau Fernwärme Wien,2017,1374,39888,35.30
43,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Mitte Linz Linie 1a,2009,272540,198981,35.11
43,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Mitte Linz Linie 1a,2010,272540,190586,35.11
43,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Mitte Linz Linie 1a,2011,272540,153809,35.11
43,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Mitte Linz Linie 1a,2012,272540,101870,35.11
43,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Mitte Linz Linie 1a,2013,121686,146969,35.11
43,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Mitte Linz Linie 1a,2014,108897,77873,35.11
43,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Mitte Linz Linie 1a,2015,96472,111369,35.11
43,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Mitte Linz Linie 1a,2016,84439,183596,35.11
43,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Mitte Linz Linie 1a,2017,72784,247104,35.11
21,WIEN ENERGIE GmbH,AT,FHKW Arsenal Fernwärme Wien,2009,4997,27700,35.30
21,WIEN ENERGIE GmbH,AT,FHKW Arsenal Fernwärme Wien,2010,4997,2684,35.30
21,WIEN ENERGIE GmbH,AT,FHKW Arsenal Fernwärme Wien,2011,4997,396,35.30
21,WIEN ENERGIE GmbH,AT,FHKW Arsenal Fernwärme Wien,2012,4997,4522,35.30
21,WIEN ENERGIE GmbH,AT,FHKW Arsenal Fernwärme Wien,2013,3658,16666,35.30
21,WIEN ENERGIE GmbH,AT,FHKW Arsenal Fernwärme Wien,2014,6546,20746,35.30
21,WIEN ENERGIE GmbH,AT,FHKW Arsenal Fernwärme Wien,2015,0,NA,35.30
21,WIEN ENERGIE GmbH,AT,FHKW Arsenal Fernwärme Wien,2016,0,NA,35.30
21,WIEN ENERGIE GmbH,AT,FHKW Arsenal Fernwärme Wien,2017,0,NA,35.30
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2009,306698,214884,35.11
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2010,306698,187471,35.11
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2011,306698,153335,35.11
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2012,306698,141207,35.11
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2013,71294,128258,35.11
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2014,63801,111486,35.11
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2015,56521,120859,35.11
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2016,49471,141085,35.11
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2017,42643,123061,35.11
45,LINZ STROM GAS WÄRME GmbH,AT,FHKW Dornach Linz AG Linz,2009,142,52,35.30
45,LINZ STROM GAS WÄRME GmbH,AT,FHKW Dornach Linz AG Linz,2010,142,23,35.30
45,LINZ STROM GAS WÄRME GmbH,AT,FHKW Dornach Linz AG Linz,2011,142,16,35.30
45,LINZ STROM GAS WÄRME GmbH,AT,FHKW Dornach Linz AG Linz,2012,142,9,35.30
45,LINZ STROM GAS WÄRME GmbH,AT,FHKW Dornach Linz AG Linz,2013,0,8,35.30
