installationidentifier,account_holder,registry_code,installation_name,year,allocated,verified_emiss,nacerev2,ln_emissions,inst_num,firm_num,treated,post_2009,post_2010,post_2011,post_2012,post_2013,post_2014,post_2015,post_2016,post_2017,post,post_treated,post_2009_treated,post_2010_treated,post_2011_treated,post_2012_treated,post_2013_treated,post_2014_treated,post_2015_treated,post_2016_treated,post_2017_treated,fuel_type,gas,coal,one_inst_firm,coal_one_inst_firm,gas_one_inst_firm,coal_multi_inst,gas_multi_inst
43,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Mitte Linz Linie 1a,2012,272540,101870,35.11,11.531452769584112,292,177,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,gas,1,0,0,0,0,0,1
43,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Mitte Linz Linie 1a,2013,121686,146969,35.11,11.8979769591679,292,177,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,gas,1,0,0,0,0,0,1
43,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Mitte Linz Linie 1a,2014,108897,77873,35.11,11.262834573576976,292,177,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,gas,1,0,0,0,0,0,1
43,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Mitte Linz Linie 1a,2015,96472,111369,35.11,11.620604291268087,292,177,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,gas,1,0,0,0,0,0,1
43,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Mitte Linz Linie 1a,2016,84439,183596,35.11,12.120492970438823,292,177,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,gas,1,0,0,0,0,0,1
43,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Mitte Linz Linie 1a,2017,72784,247104,35.11,12.417564579623908,292,177,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,gas,1,0,0,0,0,0,1
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2009,306698,214884,35.11,12.27785362662476,317,177,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,gas,1,0,0,0,0,0,1
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2010,306698,187471,35.11,12.141379445763814,317,177,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,gas,1,0,0,0,0,0,1
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2011,306698,153335,35.11,11.940380349303313,317,177,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,gas,1,0,0,0,0,0,1
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2012,306698,141207,35.11,11.857982177883297,317,177,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,gas,1,0,0,0,0,0,1
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2013,71294,128258,35.11,11.76179913925522,317,177,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,gas,1,0,0,0,0,0,1
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2014,63801,111486,35.11,11.62165430146081,317,177,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,gas,1,0,0,0,0,0,1
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2015,56521,120859,35.11,11.702379855845244,317,177,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,gas,1,0,0,0,0,0,1
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2016,49471,141085,35.11,11.85711782460658,317,177,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,gas,1,0,0,0,0,0,1
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2017,42643,123061,35.11,11.720435446378806,317,177,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,gas,1,0,0,0,0,0,1
85,WIEN ENERGIE GmbH,AT,Wienstrom KW Donaustadt Wien,2009,933401,655173,35.11,13.392654601880682,551,80,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,gas,1,0,1,0,1,0,0
85,WIEN ENERGIE GmbH,AT,Wienstrom KW Donaustadt Wien,2010,933401,717475,35.11,13.4834933828033,551,80,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,gas,1,0,1,0,1,0,0
85,WIEN ENERGIE GmbH,AT,Wienstrom KW Donaustadt Wien,2011,933401,570442,35.11,13.25416677791005,551,80,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,gas,1,0,1,0,1,0,0
85,WIEN ENERGIE GmbH,AT,Wienstrom KW Donaustadt Wien,2012,933401,515962,35.11,13.153788398341037,551,80,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,gas,1,0,1,0,1,0,0
85,WIEN ENERGIE GmbH,AT,Wienstrom KW Donaustadt Wien,2013,171412,362332,35.11,12.80031619757566,551,80,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,gas,1,0,1,0,1,0,0
85,WIEN ENERGIE GmbH,AT,Wienstrom KW Donaustadt Wien,2014,153397,379018,35.11,12.845338976340482,551,80,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,gas,1,0,1,0,1,0,0
85,WIEN ENERGIE GmbH,AT,Wienstrom KW Donaustadt Wien,2015,135894,439413,35.11,12.993195024293811,551,80,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,gas,1,0,1,0,1,0,0
85,WIEN ENERGIE GmbH,AT,Wienstrom KW Donaustadt Wien,2016,118944,534586,35.11,13.189247894540083,551,80,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,gas,1,0,1,0,1,0,0
85,WIEN ENERGIE GmbH,AT,Wienstrom KW Donaustadt Wien,2017,102526,409794,35.11,12.923409873391318,551,80,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,gas,1,0,1,0,1,0,0
99,VERBUND Thermal Power GmbH & CO KG,AT,Verbund FHKW Mellach,2009,734102,1038959,35.11,13.853729808282546,624,368,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,coal,0,1,1,1,0,0,0
99,VERBUND Thermal Power GmbH & CO KG,AT,Verbund FHKW Mellach,2010,734102,1115073,35.11,13.924430431585252,624,368,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,coal,0,1,1,1,0,0,0
99,VERBUND Thermal Power GmbH & CO KG,AT,Verbund FHKW Mellach,2011,734102,1143992,35.11,13.950034457890435,624,368,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,coal,0,1,1,1,0,0,0
99,VERBUND Thermal Power GmbH & CO KG,AT,Verbund FHKW Mellach,2012,734102,1099747,35.11,13.910590711314542,624,368,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,coal,0,1,1,1,0,0,0
99,VERBUND Thermal Power GmbH & CO KG,AT,Verbund FHKW Mellach,2013,134654,903244,35.11,13.71374800630861,624,368,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,coal,0,1,1,1,0,0,0
99,VERBUND Thermal Power GmbH & CO KG,AT,Verbund FHKW Mellach,2014,115795,852887,35.11,13.656382344075903,624,368,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,coal,0,1,1,1,0,0,0
99,VERBUND Thermal Power GmbH & CO KG,AT,Verbund FHKW Mellach,2015,100969,869484,35.11,13.675655211227063,624,368,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,coal,0,1,1,1,0,0,0
