year,registry_code,accountholder_id_trans_data,installation_id_trans_data,net_ac_tot_inst,net_ac_ext_inst,annual_change_bank_inst,bank_inst,installationidentifier
2011,AT,68,AT_150,263,263,1710,12308,150
2012,AT,68,AT_150,76622,67326,71629,83937,150
2013,AT,68,AT_150,-83937,-83937,-83937,0,150
2009,AT,68,AT_202,0,0,1907,9001,202
2010,AT,68,AT_202,0,0,4586,13587,202
2011,AT,68,AT_202,-7408,-7408,-2532,11055,202
2012,AT,68,AT_202,-9296,0,-11055,0,202
2009,AT,71,AT_48,5400,5400,3664,83650,48
2010,AT,71,AT_48,76695,5800,71933,155583,48
2011,AT,71,AT_48,77890,81902,74881,230464,48
2012,AT,71,AT_48,-11464,-19177,-83928,146536,48
2013,AT,71,AT_48,-203087,-203087,-146536,0,48
2014,AT,71,AT_48,17132,17132,0,0,48
2015,AT,71,AT_48,29097,29097,0,0,48
2016,AT,71,AT_48,9385,9385,0,0,48
2017,AT,71,AT_48,14200,14200,0,0,48
2009,AT,71,AT_51,-4438,-4438,-6794,79794,51
2010,AT,71,AT_51,265607,336502,253279,333073,51
2011,AT,71,AT_51,108835,104823,98567,431640,51
2012,AT,71,AT_51,-40565,-32852,-129910,301730,51
2013,AT,71,AT_51,-425682,-425682,-301730,0,51
2014,AT,71,AT_51,4355,4355,13821,13821,51
2015,AT,71,AT_51,-9234,-9234,-13821,0,51
2016,AT,71,AT_51,0,0,9630,9630,51
2017,AT,71,AT_51,18840,18840,22579,32209,51
2009,AT,72,AT_47,-3100,4400,-3066,26027,47
2010,AT,72,AT_47,63833,145633,63975,90002,47
2011,AT,72,AT_47,4461,78000,3699,93701,47
2012,AT,72,AT_47,1609,0,-34471,59230,47
2013,AT,72,AT_47,-80817,-817,-59230,0,47
2014,AT,72,AT_47,7448,7448,0,0,47
2015,AT,72,AT_47,9533,9533,0,0,47
2016,AT,72,AT_47,12174,12174,0,0,47
2017,AT,72,AT_47,149239,149239,134341,134341,47
2009,AT,72,AT_50,7500,0,4644,85009,50
2010,AT,72,AT_50,81800,0,74854,159863,50
2011,AT,72,AT_50,66539,-7000,60328,220191,50
2012,AT,72,AT_50,-1609,0,-82723,137468,50
2013,AT,72,AT_50,-169730,-249730,-137468,0,50
2014,AT,72,AT_50,25349,25349,0,0,50
2015,AT,72,AT_50,24981,24981,0,0,50
2016,AT,72,AT_50,27943,27943,0,0,50
2017,AT,72,AT_50,149239,149239,117790,117790,50
2012,AT,72,AT_204,-9920,-9920,-60025,159943,204
2013,AT,72,AT_204,-220848,-220848,-159943,0,204
2014,AT,72,AT_204,-45273,-45273,0,0,204
2015,AT,72,AT_204,-23442,-23442,0,0,204
2016,AT,72,AT_204,-18680,-18680,0,0,204
2017,AT,72,AT_204,149238,149238,162461,162461,204
2009,AT,73,AT_204,20383,20383,17430,154001,204
2010,AT,73,AT_204,53017,53017,61252,215253,204
2011,AT,73,AT_204,-6079,-6079,4715,219968,204
2009,AT,74,AT_27,5000,5000,-139,11504,27
2010,AT,74,AT_27,4250,4250,2272,13776,27
2011,AT,74,AT_27,67,0,438,14214,27
2012,AT,74,AT_27,-228,0,-12903,1311,27
2013,AT,74,AT_27,0,0,12966,14277,27
2014,AT,74,AT_27,0,0,-1204,13073,27
