year,registry_code,accountholder_id_trans_data,installation_id_trans_data,net_ac_tot_inst,net_ac_ext_inst,annual_change_bank_inst,bank_inst,installationidentifier
2017,BG,729,BG_47,2296,2296,0,0,47
2009,BG,730,BG_48,0,0,9739,9739,48
2010,BG,730,BG_48,-13200,-13200,-8918,821,48
2011,BG,730,BG_48,-7260,-7260,2766,3587,48
2012,BG,730,BG_48,-2741,-2741,-3500,87,48
2013,BG,730,BG_48,-383,-383,-87,0,48
2014,BG,730,BG_48,-1200,-1200,693,693,48
2015,BG,730,BG_48,-507,-507,0,693,48
2016,BG,730,BG_48,0,0,625,1318,48
2017,BG,730,BG_48,-625,-625,-625,693,48
2009,BG,731,BG_49,0,0,10900,10900,49
2010,BG,731,BG_49,-20405,-20405,-10885,15,49
2011,BG,731,BG_49,-7000,-7000,2619,2634,49
2012,BG,731,BG_49,0,0,0,2634,49
2013,BG,731,BG_49,3191,3191,1699,4333,49
2014,BG,731,BG_49,-8684,-8684,-4331,2,49
2015,BG,731,BG_49,233,233,-2,0,49
2016,BG,731,BG_49,655,655,0,0,49
2009,BG,732,BG_50,0,0,5740138,5740138,50
2010,BG,732,BG_50,0,0,-2758091,2982047,50
2011,BG,732,BG_50,2053550,2053550,1634081,4616128,50
2012,BG,732,BG_50,7471170,7471170,-3657420,958708,50
2013,BG,732,BG_50,6000000,6000000,472872,1431580,50
2014,BG,732,BG_50,5500001,5500001,-1421637,9943,50
2015,BG,732,BG_50,8542000,8542000,-7943,2000,50
2016,BG,732,BG_50,7350000,7350000,16235,18235,50
2017,BG,732,BG_50,9930000,9930000,-17853,382,50
2009,BG,733,BG_51,0,0,15706,15706,51
2010,BG,733,BG_51,4777,517,-1707,13999,51
2011,BG,733,BG_51,4627,4711,-942,13057,51
2012,BG,733,BG_51,700,700,-13014,43,51
2013,BG,733,BG_51,0,0,70783,70826,51
2014,BG,733,BG_51,0,0,31790,102616,51
2015,BG,733,BG_51,0,0,31966,134582,51
2016,BG,733,BG_51,0,0,32693,167275,51
2017,BG,733,BG_51,0,0,32135,199410,51
2009,BG,733,BG_55,0,0,9915,9915,55
2010,BG,733,BG_55,-4260,0,-4505,5410,55
2011,BG,733,BG_55,84,0,230,5640,55
2012,BG,733,BG_55,500,500,-5620,20,55
2013,BG,733,BG_55,0,0,9718,9738,55
2014,BG,733,BG_55,0,0,2560,12298,55
2015,BG,733,BG_55,0,0,2257,14555,55
2016,BG,733,BG_55,0,0,5039,19594,55
2017,BG,733,BG_55,0,0,1684,21278,55
2009,BG,734,BG_52,0,0,1697240,1697240,52
2010,BG,734,BG_52,-646648,-646648,-99444,1597796,52
2011,BG,734,BG_52,-169352,-169352,617401,2215197,52
2012,BG,734,BG_52,-420000,-420000,-940151,1275046,52
2013,BG,734,BG_52,-1275046,-1275046,-1179669,95377,52
2014,BG,734,BG_52,108323,108323,-95348,29,52
2015,BG,734,BG_52,111200,111200,-23,6,52
2016,BG,734,BG_52,185400,185400,-1,5,52
2017,BG,734,BG_52,165000,165000,165,170,52
2009,BG,735,BG_53,0,0,103239,103239,53
2010,BG,735,BG_53,0,0,6964,110203,53
2011,BG,735,BG_53,-76150,-76150,-54273,55930,53
2012,BG,735,BG_53,4688,4688,-10866,45064,53
2013,BG,735,BG_53,0,0,10381,55445,53
2014,BG,735,BG_53,3855,3855,3855,59300,53
2015,BG,735,BG_53,-59300,-59300,-59300,0,53
2016,BG,735,BG_53,0,0,0,0,53
2009,BG,736,BG_54,0,0,41526,41526,54
2010,BG,736,BG_54,0,0,-20026,21500,54
2011,BG,736,BG_54,76150,76150,57203,78703,54
2012,BG,736,BG_54,-4688,-4688,-61308,17395,54
2013,BG,736,BG_54,0,0,63666,81061,54
2014,BG,736,BG_54,0,0,-38251,42810,54
2015,BG,736,BG_54,141800,141800,99207,142017,54
2016,BG,736,BG_54,32060,32060,-8752,133265,54
2017,BG,736,BG_54,0,0,-24850,108415,54
2009,BG,737,BG_56,0,0,98354,98354,56
2010,BG,737,BG_56,-291648,-291648,159817,258171,56
2011,BG,737,BG_56,-407668,-407668,-258171,0,56
2012,BG,737,BG_56,61272,61272,41174,41174,56
2013,BG,737,BG_56,-41174,-41174,-41174,0,56
2009,BG,738,BG_57,0,0,2625522,2625522,57
2010,BG,738,BG_57,-2019267,-2019267,-997272,1628250,57
2011,BG,738,BG_57,-2416622,-2416622,321627,1949877,57
2012,BG,738,BG_57,-47373,-47373,-869010,1080867,57
2013,BG,738,BG_57,221343,221343,1505663,2586530,57
2014,BG,738,BG_57,-32117,-32117,229079,2815609,57
2015,BG,738,BG_57,-2050000,-2050000,-1822993,992616,57
2016,BG,738,BG_57,207809,207809,269142,1261758,57
2017,BG,738,BG_57,0,0,19296,1281054,57
2009,BG,739,BG_58,0,0,21002,21002,58
2010,BG,739,BG_58,-29961,-29961,-20578,424,58
2011,BG,739,BG_58,1000,1000,11227,11651,58
2012,BG,739,BG_58,1000,1000,784,12435,58
2013,BG,739,BG_58,4409,4409,4962,17397,58
2014,BG,739,BG_58,-51,-51,1027,18424,58
2015,BG,739,BG_58,-2500,-2500,-1976,16448,58
2016,BG,739,BG_58,0,0,514,16962,58
2017,BG,739,BG_58,-14827,-14827,-14323,2639,58
2009,BG,740,BG_59,0,0,125040,125040,59
2010,BG,740,BG_59,-20000,-20000,-258,124782,59
2011,BG,740,BG_59,0,0,-13347,111435,59
2012,BG,740,BG_59,9300,9300,-111435,0,59
2013,BG,740,BG_59,75,75,45820,45820,59
2014,BG,740,BG_59,0,0,-38856,6964,59
2015,BG,740,BG_59,31578,31578,-6964,0,59
2016,BG,740,BG_59,27500,27500,402,402,59
2017,BG,740,BG_59,44452,44452,-315,87,59
2009,BG,741,BG_60,0,0,42646,42646,60
2010,BG,741,BG_60,0,0,-3539,39107,60
2011,BG,741,BG_60,-38497,-38497,-1243,37864,60
2012,BG,741,BG_60,1153,1153,-37789,75,60
2013,BG,741,BG_60,-75,-75,30736,30811,60
2014,BG,741,BG_60,0,0,-8013,22798,60
2015,BG,741,BG_60,-12945,-12945,-22798,0,60
2016,BG,741,BG_60,6500,6500,165,165,60
2017,BG,741,BG_60,7748,7748,-165,0,60
2009,BG,742,BG_61,0,0,29475,29475,61
2010,BG,742,BG_61,0,0,-183,29292,61
2011,BG,742,BG_61,0,0,-130,29162,61
2012,BG,742,BG_61,0,0,-22330,6832,61
2013,BG,742,BG_61,0,0,27125,33957,61
2014,BG,742,BG_61,0,0,3087,37044,61
2015,BG,742,BG_61,0,0,2304,39348,61
2016,BG,742,BG_61,-39348,-39348,-38525,823,61
2017,BG,742,BG_61,0,0,-347,476,61
2009,BG,743,BG_62,0,0,45391,45391,62
2010,BG,743,BG_62,-35800,-35800,-17720,27671,62
2011,BG,743,BG_62,-10000,-10000,4354,32025,62
2012,BG,743,BG_62,-7000,-7000,-15511,16514,62
2013,BG,743,BG_62,-16514,-16514,-8007,8507,62
2014,BG,743,BG_62,-8507,-8507,1461,9968,62
2015,BG,743,BG_62,0,0,1565,11533,62
2016,BG,743,BG_62,0,0,214,11747,62
2017,BG,743,BG_62,0,0,4353,16100,62
2009,BG,744,BG_63,0,0,300629,300629,63
2010,BG,744,BG_63,0,0,60938,361567,63
2011,BG,744,BG_63,0,0,39807,401374,63
2012,BG,744,BG_63,18101,18101,-116510,284864,63
2013,BG,744,BG_63,0,0,164430,449294,63
2014,BG,744,BG_63,0,0,9616,458910,63
2015,BG,744,BG_63,0,0,6920,465830,63
2016,BG,744,BG_63,0,0,11443,477273,63
2017,BG,744,BG_63,-120000,-120000,-123329,353944,63
2009,BG,745,BG_64,0,0,9266,9266,64
2010,BG,745,BG_64,0,0,1754,11020,64
2011,BG,745,BG_64,0,0,34921,45941,64
2012,BG,745,BG_64,7360,7360,0,45941,64
2013,BG,745,BG_64,0,0,28840,74781,64
2014,BG,745,BG_64,0,0,9165,83946,64
2015,BG,745,BG_64,0,0,10141,94087,64
2016,BG,745,BG_64,0,0,8545,102632,64
2017,BG,745,BG_64,0,0,7311,109943,64
2009,BG,746,BG_65,0,0,7150,7150,65
2010,BG,746,BG_65,0,0,2987,10137,65
2011,BG,746,BG_65,-7500,-7500,-4089,6048,65
2012,BG,746,BG_65,0,0,-778,5270,65
2013,BG,746,BG_65,0,0,706,5976,65
2014,BG,746,BG_65,0,0,-968,5008,65
2015,BG,746,BG_65,0,0,208,5216,65
2016,BG,746,BG_65,0,0,157,5373,65
2017,BG,746,BG_65,0,0,-2,5371,65
2009,BG,747,BG_66,0,0,24039,24039,66
2010,BG,747,BG_66,-9000,-9000,4925,28964,66
2011,BG,747,BG_66,-28964,-28964,-28964,0,66
2009,BG,748,BG_67,0,0,120092,120092,67
2010,BG,748,BG_67,0,0,-1655,118437,67
2011,BG,748,BG_67,0,0,2552,120989,67
2012,BG,748,BG_67,0,0,-73018,47971,67
2013,BG,748,BG_67,0,0,127612,175583,67
2014,BG,748,BG_67,0,0,1094,176677,67
2015,BG,748,BG_67,0,0,11970,188647,67
2016,BG,748,BG_67,0,0,-14302,174345,67
2017,BG,748,BG_67,0,0,-6597,167748,67
2009,BG,749,BG_68,0,0,18439,18439,68
2010,BG,749,BG_68,-12251,-12251,-7912,10527,68
2011,BG,749,BG_68,0,0,7827,18354,68
2012,BG,749,BG_68,812,812,0,18354,68
2013,BG,749,BG_68,1288,1288,-3476,14878,68
2014,BG,749,BG_68,-10000,-10000,-5677,9201,68
2015,BG,749,BG_68,0,0,-545,8656,68
2016,BG,749,BG_68,0,0,-505,8151,68
2017,BG,749,BG_68,0,0,-570,7581,68
2009,BG,750,BG_69,0,0,0,0,69
2009,BG,751,BG_70,0,0,153297,153297,70
2010,BG,751,BG_70,-55000,-55000,2791,156088,70
2011,BG,751,BG_70,-100000,-100000,-32656,123432,70
2012,BG,751,BG_70,0,0,-20492,102940,70
2013,BG,751,BG_70,0,0,77140,180080,70
2014,BG,751,BG_70,-120000,-120000,-102427,77653,70
2015,BG,751,BG_70,-60000,-60000,-28440,49213,70
2016,BG,751,BG_70,-45000,-45000,-16065,33148,70
2017,BG,751,BG_70,-15000,-15000,13766,46914,70
2009,BG,752,BG_71,0,0,62332,62332,71
2010,BG,752,BG_71,-37070,-37070,-27436,34896,71
2011,BG,752,BG_71,0,0,9727,44623,71
2012,BG,752,BG_71,0,0,-38949,5674,71
2013,BG,752,BG_71,5000,5000,10689,16363,71
2014,BG,752,BG_71,17630,17630,-1576,14787,71
2015,BG,752,BG_71,16628,16628,-1246,13541,71
2016,BG,752,BG_71,8000,8000,-10052,3489,71
2017,BG,752,BG_71,22000,22000,-2874,615,71
2009,BG,753,BG_72,0,0,4904,4904,72
2010,BG,753,BG_72,0,0,1720,6624,72
2011,BG,753,BG_72,-5544,-5544,-6624,0,72
2009,BG,754,BG_73,0,0,15537,15537,73
2010,BG,754,BG_73,0,0,-1913,13624,73
2011,BG,754,BG_73,2570,2570,739,14363,73
2012,BG,754,BG_73,2700,2700,-14022,341,73
2013,BG,754,BG_73,0,0,11865,12206,73
2014,BG,754,BG_73,0,0,-1501,10705,73
2015,BG,754,BG_73,0,0,-5045,5660,73
2016,BG,754,BG_73,2000,2000,-4268,1392,73
2017,BG,754,BG_73,6100,6100,-1348,44,73
2009,BG,755,BG_74,0,0,4554,4554,74
2010,BG,755,BG_74,-2446,-2446,-338,4216,74
2011,BG,755,BG_74,-4216,0,-4216,0,74
2009,BG,755,BG_75,0,0,11609,11609,75
2010,BG,755,BG_75,-7554,-7554,-3148,8461,75
2011,BG,755,BG_75,4216,0,8297,16758,75
2012,BG,755,BG_75,0,0,-2695,14063,75
2013,BG,755,BG_75,0,0,-315,13748,75
2014,BG,755,BG_75,-4000,-4000,12,13760,75
2015,BG,755,BG_75,0,0,316,14076,75
2016,BG,755,BG_75,0,0,-37,14039,75
2017,BG,755,BG_75,-3000,-3000,-3000,11039,75
2009,BG,756,BG_76,0,0,9607,9607,76
2010,BG,756,BG_76,0,0,324,9931,76
2011,BG,756,BG_76,-8432,-8432,851,10782,76
2012,BG,756,BG_76,0,0,-6331,4451,76
2013,BG,756,BG_76,0,0,5424,9875,76
2014,BG,756,BG_76,0,0,-329,9546,76
2015,BG,756,BG_76,0,0,-1310,8236,76
2016,BG,756,BG_76,0,0,-1804,6432,76
2017,BG,756,BG_76,0,0,-2039,4393,76
2009,BG,757,BG_77,0,0,19212,19212,77
2010,BG,757,BG_77,-7682,-7682,-2919,16293,77
2011,BG,757,BG_77,0,0,4756,21049,77
2012,BG,757,BG_77,0,0,-7475,13574,77
2013,BG,757,BG_77,0,0,10839,24413,77
2014,BG,757,BG_77,-10318,7682,-10971,13442,77
2015,BG,757,BG_77,0,0,-3431,10011,77
2016,BG,757,BG_77,-4700,0,-8080,1931,77
2017,BG,757,BG_77,3100,0,-1931,0,77
2009,BG,757,BG_79,0,0,18629,18629,79
2010,BG,757,BG_79,-7439,-7439,-2616,16013,79
2011,BG,757,BG_79,0,0,4969,20982,79
2012,BG,757,BG_79,0,0,-6722,14260,79
2013,BG,757,BG_79,0,0,11386,25646,79
2014,BG,757,BG_79,-10561,7439,-10307,15339,79
2015,BG,757,BG_79,0,0,-1896,13443,79
2016,BG,757,BG_79,-9100,0,-11333,2110,79
2017,BG,757,BG_79,1387,0,-2110,0,79
2009,BG,757,BG_80,0,0,15555,15555,80
2010,BG,757,BG_80,-8664,-8664,-7353,8202,80
2011,BG,757,BG_80,0,0,1861,10063,80
2012,BG,757,BG_80,1168,0,-10063,0,80
2013,BG,757,BG_80,0,0,10735,10735,80
2014,BG,757,BG_80,7496,7496,5601,16336,80
2015,BG,757,BG_80,-6000,0,-7848,8488,80
2016,BG,757,BG_80,0,0,-3785,4703,80
2017,BG,757,BG_80,1203,0,-4703,0,80
2009,BG,757,BG_81,0,0,32872,32872,81
2010,BG,757,BG_81,-13072,-13072,-5608,27264,81
2011,BG,757,BG_81,0,0,7873,35137,81
2012,BG,757,BG_81,0,0,-13394,21743,81
2013,BG,757,BG_81,0,0,13682,35425,81
2014,BG,757,BG_81,-6928,13072,-6966,28459,81
2015,BG,757,BG_81,-8258,0,-10809,17650,81
2016,BG,757,BG_81,-7900,0,-11375,6275,81
2017,BG,757,BG_81,-1499,0,-6275,0,81
2009,BG,757,BG_82,0,0,791093,791093,82
2010,BG,757,BG_82,-490826,-460826,-458481,332612,82
2011,BG,757,BG_82,-642402,-642402,75481,408093,82
2012,BG,757,BG_82,205875,0,-408093,0,82
2013,BG,757,BG_82,0,0,230375,230375,82
2014,BG,757,BG_82,211951,42951,33911,264286,82
2015,BG,757,BG_82,72743,8282,-161756,102530,82
2016,BG,757,BG_82,214500,48000,-32827,69703,82
2017,BG,757,BG_82,284923,0,-19235,50468,82
2009,BG,757,BG_83,0,0,573709,573709,83
2010,BG,757,BG_83,-567183,-597183,-525349,48360,83
2011,BG,757,BG_83,0,0,24451,72811,83
2012,BG,757,BG_83,692902,969000,226376,299187,83
2013,BG,757,BG_83,0,0,-7788,291399,83
2014,BG,757,BG_83,-64376,-57376,-237121,54278,83
2015,BG,757,BG_83,108294,0,-8821,45457,83
2016,BG,757,BG_83,206500,300000,-7195,38262,83
2017,BG,757,BG_83,201707,565871,-11287,26975,83
2009,BG,757,BG_84,0,0,168363,168363,84
2010,BG,757,BG_84,-83980,-83980,-49732,118631,84
2011,BG,757,BG_84,-137006,-137006,40414,159045,84
2012,BG,757,BG_84,0,0,-83285,75760,84
2013,BG,757,BG_84,0,0,138910,214670,84
2014,BG,757,BG_84,-13020,83980,-3649,211021,84
2015,BG,757,BG_84,-64461,0,-85206,125815,84
2016,BG,757,BG_84,-51300,0,-65426,60389,84
2017,BG,757,BG_84,-12978,-1291,-60389,0,84
2009,BG,757,BG_85,0,0,199381,199381,85
2010,BG,757,BG_85,-114167,-114167,-117010,82371,85
2011,BG,757,BG_85,0,0,14509,96880,85
2012,BG,757,BG_85,69055,0,-96880,0,85
2013,BG,757,BG_85,0,0,171204,171204,85
2014,BG,757,BG_85,36112,45112,29409,200613,85
2015,BG,757,BG_85,-94036,0,-149810,50803,85
2016,BG,757,BG_85,0,0,-47615,3188,85
2017,BG,757,BG_85,86737,0,-3188,0,85
2009,BG,758,BG_78,0,0,41064,41064,78
2010,BG,758,BG_78,-16241,-16241,-5380,35684,78
2011,BG,758,BG_78,0,0,10627,46311,78
2012,BG,758,BG_78,0,0,-15518,30793,78
2013,BG,758,BG_78,0,0,23462,54255,78
2014,BG,758,BG_78,16241,16241,16589,70844,78
2015,BG,758,BG_78,-8282,-8282,-12172,58672,78
2016,BG,758,BG_78,-48000,-48000,-52798,5874,78
2017,BG,758,BG_78,1291,1291,-5874,0,78
2009,BG,759,BG_86,0,0,49107,49107,86
2010,BG,759,BG_86,0,0,8349,57456,86
2011,BG,759,BG_86,0,0,-1377,56079,86
2012,BG,759,BG_86,22343,22343,-8215,47864,86
2013,BG,759,BG_86,0,0,30143,78007,86
2014,BG,759,BG_86,0,0,-760,77247,86
2015,BG,759,BG_86,0,0,-3897,73350,86
2016,BG,759,BG_86,0,0,-2963,70387,86
2017,BG,759,BG_86,0,0,-12555,57832,86
2009,BG,760,BG_87,0,0,91336,91336,87
2010,BG,760,BG_87,0,0,7926,99262,87
2011,BG,760,BG_87,0,0,-3090,96172,87
2012,BG,760,BG_87,43129,43129,-19837,76335,87
2013,BG,760,BG_87,0,0,37615,113950,87
2014,BG,760,BG_87,0,0,-13389,100561,87
2015,BG,760,BG_87,0,0,-17187,83374,87
2016,BG,760,BG_87,0,0,-21224,62150,87
2017,BG,760,BG_87,0,0,-34675,27475,87
2009,BG,760,BG_88,0,0,6976,6976,88
2010,BG,760,BG_88,0,0,2078,9054,88
2011,BG,760,BG_88,0,0,4917,13971,88
2012,BG,760,BG_88,631,631,0,13971,88
2013,BG,760,BG_88,0,0,955,14926,88
2014,BG,760,BG_88,0,0,-40,14886,88
2015,BG,760,BG_88,0,0,-89,14797,88
2016,BG,760,BG_88,0,0,-753,14044,88
2017,BG,760,BG_88,0,0,-57,13987,88
2009,BG,760,BG_90,0,0,8704,8704,90
2010,BG,760,BG_90,0,0,3412,12116,90
2011,BG,760,BG_90,0,0,-269,11847,90
2012,BG,760,BG_90,4613,4613,-209,11638,90
2013,BG,760,BG_90,0,0,5010,16648,90
2014,BG,760,BG_90,0,0,-1607,15041,90
2015,BG,760,BG_90,0,0,-1566,13475,90
2016,BG,760,BG_90,0,0,-3254,10221,90
2017,BG,760,BG_90,0,0,-4648,5573,90
2009,BG,760,BG_91,0,0,46344,46344,91
2010,BG,760,BG_91,0,0,343,46687,91
2011,BG,760,BG_91,-27199,-27199,-634,46053,91
2012,BG,760,BG_91,17427,17427,-6367,39686,91
2013,BG,760,BG_91,0,0,6207,45893,91
2014,BG,760,BG_91,0,0,-1599,44294,91
2015,BG,760,BG_91,0,0,-6345,37949,91
2016,BG,760,BG_91,0,0,-13993,23956,91
2017,BG,760,BG_91,0,0,-19105,4851,91
2009,BG,760,BG_92,0,0,167751,167751,92
2010,BG,760,BG_92,0,0,65226,232977,92
2011,BG,760,BG_92,-97711,-97711,38743,271720,92
2012,BG,760,BG_92,59136,59136,-5655,266065,92
2013,BG,760,BG_92,0,0,85774,351839,92
2014,BG,760,BG_92,0,0,1399,353238,92
2015,BG,760,BG_92,0,0,-18628,334610,92
2016,BG,760,BG_92,0,0,-22758,311852,92
2017,BG,760,BG_92,0,0,-29881,281971,92
2009,BG,760,BG_93,0,0,162893,162893,93
2010,BG,760,BG_93,0,0,27117,190010,93
2011,BG,760,BG_93,0,0,7859,197869,93
2012,BG,760,BG_93,61667,61667,-8318,189551,93
2013,BG,760,BG_93,0,0,51096,240647,93
2014,BG,760,BG_93,0,0,-27084,213563,93
2015,BG,760,BG_93,0,0,-15561,198002,93
2016,BG,760,BG_93,0,0,-19335,178667,93
2017,BG,760,BG_93,0,0,-37588,141079,93
2009,BG,761,BG_89,0,0,155490,155490,89
2010,BG,761,BG_89,0,0,65692,221182,89
2011,BG,761,BG_89,0,0,27610,248792,89
2012,BG,761,BG_89,57266,57266,-44402,204390,89
2013,BG,761,BG_89,0,0,41857,246247,89
2014,BG,761,BG_89,0,0,-43418,202829,89
2015,BG,761,BG_89,0,0,-23695,179134,89
2016,BG,761,BG_89,0,0,-26626,152508,89
2017,BG,761,BG_89,0,0,-50248,102260,89
2009,BG,762,BG_94,0,0,615,615,94
2010,BG,762,BG_94,0,0,293,908,94
2012,BG,762,BG_94,-908,-908,-908,0,94
2009,BG,763,BG_95,0,0,4916812,4916812,95
2010,BG,763,BG_95,-3216812,-3216812,-2789175,2127637,95
2011,BG,763,BG_95,-3013639,-3013639,877736,3005373,95
2012,BG,763,BG_95,-887411,-887411,-2467920,537453,95
2013,BG,763,BG_95,100000,100000,-492711,44742,95
2014,BG,763,BG_95,930569,930569,-37076,7666,95
2015,BG,763,BG_95,0,0,0,7666,95
2017,BG,763,BG_95,0,0,0,7666,95
2009,BG,764,BG_96,0,0,23721,23721,96
2010,BG,764,BG_96,0,0,-1879,21842,96
2011,BG,764,BG_96,0,0,-2037,19805,96
2012,BG,764,BG_96,2572,2572,-19713,92,96
2013,BG,764,BG_96,0,0,20363,20455,96
2014,BG,764,BG_96,0,0,-2041,18414,96
2015,BG,764,BG_96,0,0,-2851,15563,96
2016,BG,764,BG_96,0,0,-1310,14253,96
2017,BG,764,BG_96,0,0,-3691,10562,96
2009,BG,765,BG_97,0,0,4126,4126,97
2010,BG,765,BG_97,0,0,528,4654,97
2011,BG,765,BG_97,0,0,-460,4194,97
2012,BG,765,BG_97,4760,4760,867,5061,97
2013,BG,765,BG_97,-2380,-2380,251518,256579,97
2014,BG,765,BG_97,-222565,-222565,-231893,24686,97
2015,BG,765,BG_97,-29850,-29850,-20570,4116,97
2016,BG,765,BG_97,0,0,-1803,2313,97
2017,BG,765,BG_97,0,0,26387,28700,97
2009,BG,766,BG_98,0,0,24592,24592,98
2010,BG,766,BG_98,-23500,-23500,-10777,13815,98
2011,BG,766,BG_98,-10100,-10100,1429,15244,98
2012,BG,766,BG_98,-11000,-11000,-12545,2699,98
2013,BG,766,BG_98,0,0,1096,3795,98
2014,BG,766,BG_98,2071,2071,2071,5866,98
2015,BG,766,BG_98,-2000,-2000,-2000,3866,98
2016,BG,766,BG_98,0,0,-2566,1300,98
2017,BG,766,BG_98,-2388,-2388,-350,950,98
2009,BG,767,BG_99,0,0,75309,75309,99
2010,BG,767,BG_99,0,0,34997,110306,99
2011,BG,767,BG_99,0,0,34735,145041,99
2012,BG,767,BG_99,0,0,-31092,113949,99
2013,BG,767,BG_99,0,0,13121,127070,99
2014,BG,767,BG_99,-28351,-28351,-37786,89284,99
2015,BG,767,BG_99,0,0,-1596,87688,99
2016,BG,767,BG_99,0,0,-9184,78504,99
2017,BG,767,BG_99,0,0,-12788,65716,99
2009,BG,768,BG_100,0,0,1503,1503,100
2010,BG,768,BG_100,0,0,522,2025,100
2011,BG,768,BG_100,0,0,1225,3250,100
2012,BG,768,BG_100,-1500,-1500,-3196,54,100
2013,BG,768,BG_100,0,0,100,154,100
2014,BG,768,BG_100,0,0,1785,1939,100
2017,BG,768,BG_100,-1939,-1939,-1939,0,100
2009,BG,769,BG_101,0,0,1694,1694,101
2010,BG,769,BG_101,-1694,-1694,-913,781,101
2011,BG,769,BG_101,-1594,-1594,-781,0,101
2012,BG,769,BG_101,8,8,0,0,101
2009,BG,770,BG_102,0,0,3314,3314,102
2010,BG,770,BG_102,-2300,-2300,-1843,1471,102
2011,BG,770,BG_102,0,0,118,1589,102
2012,BG,770,BG_102,0,0,-1018,571,102
2013,BG,770,BG_102,0,0,-461,110,102
2014,BG,770,BG_102,1119,1119,297,407,102
2015,BG,770,BG_102,1500,1500,291,698,102
2016,BG,770,BG_102,1100,1100,-446,252,102
2017,BG,770,BG_102,1600,1600,-228,24,102
2009,BG,771,BG_103,0,0,8243,8243,103
2010,BG,771,BG_103,-5000,-5000,438,8681,103
2011,BG,771,BG_103,-16634,-16634,-4192,4489,103
2012,BG,771,BG_103,-4489,-4489,-4489,0,103
2009,BG,773,BG_105,0,0,20936,20936,105
2010,BG,773,BG_105,0,0,666,21602,105
2011,BG,773,BG_105,0,0,14418,36020,105
2012,BG,773,BG_105,2528,2528,-19922,16098,105
2013,BG,773,BG_105,0,0,7641,23739,105
2014,BG,773,BG_105,0,0,18351,42090,105
2015,BG,773,BG_105,0,0,-720,41370,105
2016,BG,773,BG_105,0,0,-5852,35518,105
2017,BG,773,BG_105,0,0,-6447,29071,105
2009,BG,774,BG_106,0,0,52469,52469,106
2010,BG,774,BG_106,0,0,5580,58049,106
2011,BG,774,BG_106,0,0,3051,61100,106
2012,BG,774,BG_106,734,734,-31078,30022,106
2013,BG,774,BG_106,0,0,48912,78934,106
2014,BG,774,BG_106,0,0,5877,84811,106
2015,BG,774,BG_106,0,0,3379,88190,106
2016,BG,774,BG_106,0,0,-3856,84334,106
2017,BG,774,BG_106,0,0,-7221,77113,106
2009,BG,775,BG_107,0,0,103175,103175,107
2010,BG,775,BG_107,-103001,-103001,-38462,64713,107
2011,BG,775,BG_107,0,0,62288,127001,107
2012,BG,775,BG_107,18769,18769,-2498,124503,107
2013,BG,775,BG_107,0,0,-7130,117373,107
2014,BG,775,BG_107,-98535,-98535,-109104,8269,107
2015,BG,775,BG_107,11000,11000,714,8983,107
2016,BG,775,BG_107,62000,62000,52634,61617,107
2017,BG,775,BG_107,-53978,-53978,-53066,8551,107
2009,BG,776,BG_108,0,0,13811,13811,108
2010,BG,776,BG_108,0,0,6393,20204,108
2011,BG,776,BG_108,0,0,6665,26869,108
2013,BG,776,BG_108,-26869,-26869,-26869,0,108
2009,BG,777,BG_109,0,0,3913,3913,109
2010,BG,777,BG_109,-5945,-5945,-3913,0,109
2011,BG,777,BG_109,0,0,2281,2281,109
2013,BG,777,BG_109,-2281,-2281,-2281,0,109
2009,BG,778,BG_110,0,0,5918,5918,110
2010,BG,778,BG_110,0,0,661,6579,110
2011,BG,778,BG_110,0,0,638,7217,110
2012,BG,778,BG_110,0,0,-5406,1811,110
2013,BG,778,BG_110,0,0,5101,6912,110
2014,BG,778,BG_110,0,0,-678,6234,110
2015,BG,778,BG_110,0,0,-1081,5153,110
2016,BG,778,BG_110,0,0,-1041,4112,110
2017,BG,778,BG_110,0,0,-1694,2418,110
2009,BG,779,BG_111,0,0,4175,4175,111
2010,BG,779,BG_111,0,0,2116,6291,111
2011,BG,779,BG_111,-8287,-8287,-3757,2534,111
2013,BG,779,BG_111,-2534,-2534,-2534,0,111
2009,BG,780,BG_112,0,0,4008290,4008290,112
2010,BG,780,BG_112,-1022135,-1022135,286698,4294988,112
2011,BG,780,BG_112,-2491637,-2491637,272338,4567326,112
2012,BG,780,BG_112,-1733874,-1733874,-2815372,1751954,112
2013,BG,780,BG_112,-141322,-141322,-43978,1707976,112
2014,BG,780,BG_112,0,0,1426965,3134941,112
2015,BG,780,BG_112,0,0,-18506,3116435,112
2016,BG,780,BG_112,70897,70897,-402510,2713925,112
2017,BG,780,BG_112,-212208,-212208,233600,2947525,112
2009,BG,781,BG_113,0,0,24547,24547,113
2010,BG,781,BG_113,-13000,-13000,-6060,18487,113
2011,BG,781,BG_113,-46947,-46947,-18481,6,113
2012,BG,781,BG_113,0,0,0,6,113
2014,BG,781,BG_113,-6,-6,-6,0,113
2016,BG,781,BG_113,0,0,0,0,113
2009,BG,782,BG_114,-5000,-5000,6829,6829,114
2010,BG,782,BG_114,-12580,-12580,-6829,0,114
2011,BG,782,BG_114,0,0,5553,5553,114
2012,BG,782,BG_114,-4470,-4470,-5499,54,114
2013,BG,782,BG_114,-722,-722,-52,2,114
2014,BG,782,BG_114,-1642,-1642,752,754,114
2015,BG,782,BG_114,-754,-754,-754,0,114
