fuel_type,installationidentifier,account_holder,registry_code,installation_name
biomass,492,Oy Alholmens Kraft Ab,FI,Pietarsaaren voimalaitos
,477,Porin Prosessivoima Oy,FI,Porin tehdas
biomass,34,Etelä-Savon Energia Oy,FI,Pursialan lämmitysvoimalaitos
biomass,100,Jyväskylän Energiantuotanto Oy,FI,Rauhalahti
biomass,582,Rauman Biovoima Oy,FI,Rauman Voima Oy
biomass,472,Järvi-Suomen Voima Oy,FI,Ristiinan voimalaitos
coal,72,Helen Oy,FI,Salmisaaren voimalaitos
gas,478,Keravan Energia Oy,FI,Savion voimalaitos
biomass,104,Järvi-Suomen Voima Oy,FI,Savonlinna
biomass,357,Vaskiluodon Voima Oy,FI,Seinäjoen voimalaitos
oil,182,Lahti Energia Oy,FI,Sopenkorven lämpökeskus
biomass,482,Kumpuniemen Voima Oy,FI,Suolahti
coal,26,Fortum Power and Heat Oy,FI,Suomenojan voimalaitos
biomass,270,Napapiirin Energia ja Vesi Oy,FI,Suosiola
oil,522,Fingrid Oyj,FI,Tahkoluodon kaasuturbiinilaitos
biomass,247,Porvoon Energia Oy-Borgå Energi Ab,FI,Tolkkisten höyryvoimalaitos
oil,523,Fingrid Oyj,FI,Tolkkisten kaasuturpiinilaitokset 1 ja 2
biomass,215,Oulun Energia Oy,FI,Toppilan voimalaitokset
biomass,468,Stora Enso Oyj,FI,Uimaharjun voimalaitos
oil,524,Fingrid Oyj,FI,Vanajan kaasuturbiinilaitos
gas,53,Elenia Lämpö Oy,FI,Vanajan voimalaitos
oil,525,Fingrid Oyj,FI,Vaskiluodon kaasuturbiinilaitos
coal,358,Vaskiluodon Voima Oy,FI,Vaskiluoto 2 -voimalaitos
biomass,454,Metsä Fibre Oy,FI,Vilppulan Saha
gas,74,Helen Oy,FI,Vuosaaren A-voimalaitos
gas,75,Helen Oy,FI,Vuosaaren B-voimalaitos
coal,1016,ALBIOMA BOIS ROUGE,FR,ALBIOMA BOIS-ROUGE
oil,1138,ALBIOMA GALION,FR,ALBIOMA GALION
coal,1015,ALBIOMA LE GOL,FR,ALBIOMA LE GOL
coal,1107,ALBIOMA LE MOULE,FR,ALBIOMA LE MOULE
,1011,BORALEX BLENDECQUES SAS,FR,BORALEX Blendecques SAS
gas,592,COMPAGNIE PARISIENNE DE CHAUFFAGE URBAIN (CPCU),FR,CPCU - chaufferie de Saint-Ouen III
gas,1108,EDF SA,FR,EDF - Jarry Sud
oil,1110,EDF SA,FR,EDF - St Martin
oil,1040,EDF SA,FR,EDF - Vazzio
,451,EDF SA,FR,EDF Centrale de Blénod
coal,560,EDF SA,FR,EDF Centrale de Cordemais
oil,694,EDF SA,FR,EDF Centrale de Porcheville
coal,270,EDF SA,FR,EDF Centrale Le Havre
gas,893,EDF SA,FR,EDF KOUROU
oil,1114,EDF SA,FR,EDF Pointe des Carrières
oil,171,EDF SA,FR,EDF TAC DE BRENNILIS
oil,174,EDF SA,FR,EDF TAC DE DIRINON
oil,590,EDF SA,FR,EDF TAC de Vitry-Arrighi
oil,1111,ENERGIES ANTILLES,FR,ENERGIES ANTILLES - Site Jarry Sud
,715,ENERLIS,FR,ENERLIS
gas,996,ENERSOL,FR,ENERSOL
gas,686,ENGIE ENERGIE SERVICES,FR,ENGIE ENERGIE SERVICES Chaufferie de Parly 2
,241,ENGIE ENERGIE SERVICES,FR,ENGIE ES Chaufferie ZUP Chapelle St Luc
gas,988,ENGIE THERMIQUE FRANCE,FR,ETF - CENTRALE DK6
,623,FIGENAL SNC,FR,FIGENAL
gas,1102,INDUSTELEC SUD EST,FR,INDUSTELEC SUD EST
,637,LAVERA ENERGIES SNC,FR,LAVERA ENERGIES SNC
gas,1126,PLAINE COMMUNE ENERGIE,FR,PCE - Fort de l'Est - Saint-Denis
,111,PERIGORD ENERGIES,FR,PERIGORD ENERGIES
gas,985,RESONOR,FR,RESONOR - Centrale Thermique du Mont de Terre
gas,1124,SOCIETE DE DISTRIBUTION DE CHALEUR DE FIRMINY,FR,SDCF Sté de Distrib de Chaleur de Firminy
,808,SETE,FR,SETE
gas,881,SETHELEC,FR,SETHELEC CENTRALE DE COGENERATION DE GRAULHET
gas,591,SNC COGE VITRY,FR,SNC COGE VITRY
gas,301,TARANIS DU ROUVRAY,FR,TARANIS DU ROUVRAY
gas,488,UEM,FR,UEM Centrale de Chambière
coal,587,UNIPER FRANCE POWER,FR,UNIPER FRANCE POWER Centrale de Provence
gas,1133,UNIPER FRANCE POWER,FR,UNIPER FRANCE POWER Centrale Emile Huchet
gas,698,VELIDIS,FR,VELIDIS - Chaufferie Vélizy III
oil,24,ΔΕΗ  ΑΕ,GR,ΑΗΣ ΛΙΝΟΠΕΡΑΜΑΤΩΝ
oil,26,ΔΕΗ  ΑΕ,GR,ΑΗΣ ΡΟΔΟΥ
oil,46,ΔΕΗ  ΑΕ,GR,ΑΣΠ ΑΘΕΡΙΝΟΛΑΚΚΟΥ
,41,ΔΕΗ  ΑΕ,GR,ΑΣΠ ΚΑΡΠΑΘΟΥ
,30,ΔΕΗ  ΑΕ,GR,ΑΣΠ ΚΩ
,27,ΔΕΗ  ΑΕ,GR,ΑΣΠ ΛΕΣΒΟΥ
,39,ΔΕΗ  ΑΕ,GR,ΑΣΠ ΜΗΛΟΥ
,35,ΔΕΗ  ΑΕ,GR,ΑΣΠ ΜΥΚΟΝΟΥ
,34,ΔΕΗ  ΑΕ,GR,ΑΣΠ ΠΑΡΟΥ
,32,ΔΕΗ  ΑΕ,GR,ΑΣΠ ΣΑΜΟΥ
,28,ΔΕΗ  ΑΕ,GR,ΑΣΠ ΣΥΡΟΥ
,31,ΔΕΗ  ΑΕ,GR,ΑΣΠ ΧΙΟΥ
coal,15,ΔΕΗ  ΑΕ,GR,ΑΤΜΟΗΛΕΚΤΡΙΚΟΣ ΣΤΑΘΜΟΣ ΑΗΣ ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ
coal,14,ΔΕΗ  ΑΕ,GR,ΑΤΜΟΗΛΕΚΤΡΙΚΟΣ ΣΤΑΘΜΟΣ ΑΗΣ ΚΑΡΔΙΑΣ
oil,25,ΔΕΗ  ΑΕ,GR,ΑΤΜΟΗΛΕΚΤΡΙΚΟΣ ΣΤΑΘΜΟΣ ΑΗΣ ΧΑΝΙΩΝ
coal,16,ΔΕΗ  ΑΕ,GR,ΑΤΜΟΗΛΕΚΤΡΙΚΟΣ ΣΤΑΘΜΟΣ ΑΜΥΝΤΑΙΟ ΦΛΩΡΙΝΑΣ
gas,22,ΔΕΗ  ΑΕ,GR,ΑΤΜΟΗΛΕΚΤΡΙΚΟΣ ΣΤΑΘΜΟΣ ΚΟΜΟΤΗΝΗΣ
oil,21,ΔΕΗ  ΑΕ,GR,ΑΤΜΟΗΛΕΚΤΡΙΚΟΣ ΣΤΑΘΜΟΣ ΛΑΥΡΙΟΥ
coal,18,ΔΕΗ  ΑΕ,GR,ΑΤΜΟΗΛΕΚΤΡΙΚΟΣ ΣΤΑΘΜΟΣ ΜΕΓΑΛΟΠΟΛΗΣ - ΜΟΝΑΔΑ IV
coal,17,ΔΕΗ  ΑΕ,GR,ΑΤΜΟΗΛΕΚΤΡΙΚΟΣ ΣΤΑΘΜΟΣ ΜΕΓΑΛΟΠΟΛΗΣ Α
coal,19,ΔΕΗ  ΑΕ,GR,ΑΤΜΟΗΛΕΚΤΡΙΚΟΣ ΣΤΑΘΜΟΣ ΜΕΛΙΤΗΣ
gas,154,ELPEDISON (ΠΡ ΕΝΕΡΓΕΙΑΚΗ ΘΕΣΣΑΛΟΝΙΚΗΣ Α.Ε.),GR,ΣΤΑΘΜΟΣ ΠΑΡΑΓΩΓΗΣ ΗΛΕΚΤΡΙΚΗΣ ΕΝΕΡΓΕΙΑΣ ΘΕΣ/ΚΗΣ
,168,ΔΕΗ  ΑΕ,GR,ΤΣΠ ΠΑΤΜΟΥ
gas,36,Alpiq Csepel Kft.,HU,Alpiq Csepel II. Erőmű
coal,13,Bakonyi Erõmû Zrt.,HU,Bakonyi Erőmű Zrt. Ajkai Hőerőmű
gas,22,Budapesti Eromu ZRt.,HU,BERT Rt. Kelenföldi Komb.Cikl. Gázt.Hoszolg. Eromu
gas,23,Budapesti Eromu ZRt.,HU,BERT Rt. Kispesti Komb. Cikl. Gázt. Hoszolg. Eromu
gas,24,Budapesti Eromu ZRt.,HU,BERT Rt. Újpesti Komb. Cikl. Gázt. Hoszolg. Eromu
gas,54,Dunamenti Erõmû Zrt.,HU,Dunamenti Zrt.
gas,254,MVM Észak-Budai Kogenerációs Futoeromu Kft.,HU,Észak-Budai Fűtőerőmű Kft.
gas,63,ISD POWER Energiatermelo és Szolgáltató Kft.,HU,ISD POWER Kft. Erőmű
coal,142,Mátrai Erõmû Zrt.,HU,Mátrai Erőmű ZRt. Visontai Erőmű
gas,112,Viridian Power Limited,IE,CCGT HPC2 (Huntstown Power Station Phase II)
gas,14,Synergen Power Limited Power Plant,IE,Dublin Bay Power Plant
gas,6,Edenderry Power Limited,IE,Edenderry Power Plant
other,52,Electricity Supply Board,IE,ESB Lough Ree Power
coal,54,Electricity Supply Board,IE,ESB Moneypoint Generating Station
gas,118,Electricity Supply Board,IE,ESB Poolbeg Generating Station (CCGT)
other,59,Electricity Supply Board,IE,ESB West Offaly
oil,108,SSE Generation Ireland Limited,IE,Rhode Generating Station
gas,71,Tynagh Energy Limited,IE,Tynagh 400MW CCPP
gas,1072,Alto Garda Power S.r.l.,IT,Alto Garda Power
gas,955,EDISON SPA,IT,Altomonte
,1056,Amga Legnano Spa,IT,Amga Legnano Spa
gas,483,EDISON SPA,IT,BUSSI SUL TIRINO
coal,85,Iren Energia S.p.A.,IT,CAE - Centrale di cogenerazione di Sampierdarena
gas,965,Calenia Energia SpA,IT,Calenia Energia
gas,1020,A2A CALORE & SERVIZI Srl,IT,Canavese
gas,956,EDISON SPA,IT,Candela
gas,287,Cargill S.r.l.,IT,Cargill srl-centrale Castelmassa
biomass,499,C&T SpA,IT,Centrale a Biomasse C & T  S. r. l.
gas,985,Sorgenia Power SpA,IT,Centrale a ciclo combinato di Termoli
gas,45,NOVEL SPA,IT,Centrale di Cogenerazione
,124,EniPower S.p.A.,IT,Centrale di Cogenerazione
gas,100,SEA Energia spa,IT,CENTRALE DI COGENERAZIONE AEROPORTO MALPENSA
gas,230,AGSM Verona Spa,IT,Centrale di Cogenerazione di Centro Città
gas,1009,Società Elettrica in Morbegno c.p.a.,IT,Centrale di cogenerazione e teleriscaldamento
gas,1068,A2A GENCOGAS S.P.A.,IT,CENTRALE DI GISSI
gas,680,Innovatec S.p.A.,IT,Centrale di Rivoli
gas,586,EP Produzione S.p.A.,IT,Centrale di Tavazzano e Montanaso
gas,659,Aziende Industriali Municipali Vicenza SpA,IT,CENTRALE DI TELERISCALDAMENTO DI VIALE CRICOLI
gas,957,SET Spa,IT,Centrale di Teverola
gas,497,ENI S.P.A.,IT,Centrale di Torrente Tona
,534,S.MED.E. PANTELLERIA S.P.A.,IT,CENTRALE ELETTRICA
biomass,508,Ital Green Energy srl,IT,Centrale elettrica con motori endotermici
gas,498,Fenice spa,IT,Centrale termica
gas,42,Polioli S.p.A.,IT,Centrale Termica Polioli
,23,Fenice spa,IT,centrale termoelettrica
,523,Fenice spa,IT,centrale termoelettrica
gas,645,TECNOPARCO VALBASENTO,IT,CENTRALE TERMOELETTRICA
,1015,Free Energia S.p.A.,IT,Centrale Termoelettrica
biomass,509,Ital Green Energy srl,IT,Centrale termoelettrica a biomasse solide
gas,410,ENEL PRODUZIONE S.p.A.,IT,CENTRALE TERMOELETTRICA D PORTOFERRARIO
coal,521,ENEL PRODUZIONE S.p.A.,IT,CENTRALE TERMOELETTRICA DI  BRINDISI SUD
coal,275,ENEL PRODUZIONE S.p.A.,IT,CENTRALE TERMOELETTRICA DI  FUSINA
gas,307,ENEL PRODUZIONE S.p.A.,IT,CENTRALE TERMOELETTRICA DI  LA CASELLA
gas,654,A2A GENCOGAS S.P.A.,IT,CENTRALE TERMOELETTRICA DI CASSANO D'ADDA
coal,649,Fiume Santo S.p.A.,IT,Centrale termoelettrica di fiumesanto
coal,88,ENEL PRODUZIONE S.p.A.,IT,CENTRALE TERMOELETTRICA DI LA SPEZIA
gas,1026,E.ON Produzione Centrale Livorno Ferraris S.p.A.,IT,Centrale Termoelettrica di Livorno Ferraris
gas,14,Iren Energia S.p.A.,IT,Centrale Termoelettrica di Moncalieri
coal,301,A2A ENERGIEFUTURE S.P.A.,IT,Centrale Termoelettrica di Monfalcone
gas,200,EP Produzione S.p.A.,IT,Centrale Termoelettrica di Ostiglia
gas,311,A2A GENCOGAS S.P.A.,IT,CENTRALE TERMOELETTRICA DI PIACENZA LEVANTE
gas,546,ENEL PRODUZIONE S.p.A.,IT,CENTRALE TERMOELETTRICA DI PORTO EMPEDOCLE
gas,564,ENEL PRODUZIONE S.p.A.,IT,CENTRALE TERMOELETTRICA DI PRIOLO GARGALLO
oil,543,A2A ENERGIEFUTURE S.P.A.,IT,CENTRALE TERMOELETTRICA DI SAN FILIPPO DEL MELA
coal,573,ENEL PRODUZIONE S.p.A.,IT,CENTRALE TERMOELETTRICA DI SULCIS
gas,538,ENEL PRODUZIONE S.p.A.,IT,CENTRALE TERMOELETTRICA DI TERMINI IMERESE
gas,1010,ENGIE Produzione S.p.A.,IT,Centrale Termoelettrica Leinì
gas,963,ENGIE Produzione S.p.A.,IT,Centrale Termoelettrica Roselectra
gas,202,A2A GENCOGAS S.P.A.,IT,CENTRALE TERMOELETTRICA SERMIDE
gas,656,ACEA PRODUZIONE S.p.A.,IT,CENTRALE TERMOELETTRICA TOR DI VALLE
coal,438,Tirreno Power SpA,IT,Centrale Termoelettrica Torrevaldaliga
coal,79,Tirreno Power SpA,IT,Centrale Termoelettrica Vado Ligure
gas,535,EP Produzione S.p.A.,IT,Centrale Turbogas di Trapani
gas,924,ASM VOGHERA SPA,IT,Cogenerazione e teleriscaldamento Texiria
gas,216,Novareti S.p.A.,IT,Cogenerazione zona industriale
,954,Condino Energia srl,IT,Condino Energia
gas,563,ISAB S.r.l.,IT,CTE RAFFINERIA ISAB IMPIANTI SUD
gas,185,LINEA RETI E IMPIANTI S.R.L.,IT,CTEC - Centrale TermoElettrica Cogenerativa
coal,159,A2A CALORE & SERVIZI Srl,IT,CTEC LAMARMORA
gas,197,EniPower Mantova S.p.A.,IT,EniPower Mantova
gas,517,EniPower S.p.A.,IT,EniPower S.p.A. - Stabilimento di Brindisi
gas,355,EniPower S.p.A.,IT,EniPower S.p.A. - Stabilimento di Ravenna
gas,179,EniPower S.p.A.,IT,EniPower S.p.A.- Stabilimento di Ferrera Erbognone
gas,562,ERG Power S.r.l.,IT,ERG Power
gas,118,A2A CALORE & SERVIZI Srl,IT,FAMAGOSTA
gas,1004,Ferrero Industriale Italia srl,IT,Ferrero Industriale Italia
gas,3,ENERGIE S.r.l.,IT,IMPIANTO DI BARDONECCHIA
gas,561,ISAB S.r.l.,IT,IMPIANTO IGCC
gas,1022,SEA Energia spa,IT,LINATE
gas,272,EDISON SPA,IT,MARGHERA AZOTATI
gas,270,EDISON SPA,IT,MARGHERA LEVANTE
gas,542,TERMICA MILAZZO SRL,IT,MILAZZO
gas,752,SOLVAY CHIMICA ITALIA SPA,IT,Nuova Rosen
gas,387,DS Smith Paper Italia srl,IT,PORCARI
gas,404,ENI S.P.A.,IT,Raffineria di Livorno - CTE
gas,513,ENI S.P.A.,IT,Raffineria di Taranto
gas,647,Iren Energia S.p.A.,IT,RETE 1
gas,322,Iren Energia S.p.A.,IT,RETE 2
gas,1031,Rizziconi Energia S.p.A.,IT,Rizziconi Energia
biomass,757,San Marco Bioenergie S.p.A.,IT,San Marco Bioenergie S.p.A.
gas,126,EDISON SPA,IT,SESTO SAN GIOVANNI
gas,1013,EDISON SPA,IT,Simeri Crichi
gas,754,Società Enipower Ferrara S.r.l.,IT,Società EniPower - Stabilimento di Ferrara
gas,67,SOLVAY SPECIALTY POLYMERS ITALY SPA,IT,SPINETTA MARENGO
biomass,795,TAMPIERI ENERGIE SRL - FAENZA- RA,IT,T.ENERGY
gas,511,Taranto Energia S.r.l. in Amministrazione Straordinaria,IT,TARANTO ENERGIA SRL
gas,117,A2A CALORE & SERVIZI Srl,IT,TECNOCITY
biomass,861,AZIENDA PUBBLISERVIZI BRUNICO,IT,TELERISCALDAMENTO BRUNICO
gas,434,EDISON SPA,IT,TERNI
gas,986,EDISON SPA,IT,TORVISCOSA
gas,989,TRIGNO ENERGY SRL,IT,TRIGNO ENERGY
gas,132,Iren Energia S.p.A.,IT,TURBIGO
gas,65,GEVER S.p.A.,IT,VERZUOLO
gas,182,VOGHERA ENERGIA S.p.A.,IT,VOGHERA ENERGIA S.p.A.
gas,87,AB Lietuvos energijos gamyba,LT,Lietuvos elektrinė
gas,44,AB Vilniaus silumos tinklai,LT,Termofikacinė elektrinė Nr. 2 (E-2)
gas,1,Cegyco S.A.,LU,Cegyco S.A.
gas,101,"A/S ""Valmieras Energija"" Rigas iela 25",LV,Installation 100
gas,102,"A/S ""Valmieras Energija"" Dzelzcela iela 7",LV,Installation 101
biomass,107,"SIA ""Rigens""",LV,Installation 106
biomass,15,"A/S „Rigas siltums” siltumcentrale ""Daugavgriva""",LV,Installation 15
gas,19,"A/S „Rigas siltums” siltumcentrale ""Imanta""",LV,Installation 19
gas,20,SIA „Dobeles energija”,LV,Installation 20
gas,39,PAS „Daugavpils siltumtikli” SC1,LV,Installation 39
gas,42,SIA „Jekabpils siltums”,LV,Installation 42
gas,6,AS “Latvenergo” TEC-1,LV,Installation 6
gas,7,AS „Latvenergo” TEC-2,LV,Installation 7
coal,172,RWE Generation NL B.V.,NL,Amercentrale
gas,196,Delesto B.V.,NL,Delesto B.V.
gas,192,DOW Benelux B.V.,NL,Dow Benelux B.V. BKG 10
gas,191,Emmtec Services B.V.,NL,Emmtec Services B.V.
gas,241,Eneco Warmteproductie Utrecht B.V.,NL,Eneco Centrale Lage Weide
gas,187,Eneco Warmteproductie Utrecht B.V.,NL,Eneco Centrale Merwedekanaal
gas,154,ENGIE Energie Nederland N.V.,NL,ENGIE Eemscentrale
gas,198,Eurogen C.V.,NL,Eurogen C.V.
gas,183,Nuon Power Generation B.V.,NL,Nuon Centrale Diemen
gas,184,Nuon Power Generation B.V.,NL,Nuon Centrale Hemweg
gas,188,Nuon Power Generation B.V.,NL,Nuon Power Velsen
gas,214,Pergen V.O.F.,NL,Pergen VOF
gas,160,Uniper Benelux N.V.,NL,Uniper Centrale De Constant Rebecqueplein
gas,159,Uniper Benelux N.V.,NL,Uniper Centrale Leiden
coal,163,Uniper Benelux N.V.,NL,Uniper Centrale Maasvlakte
gas,161,Uniper Benelux N.V.,NL,Uniper Centrale RoCa
gas,195,Ennatuurlijk B.V.,NL,WKC Eindhoven
gas,168,Ennatuurlijk B.V.,NL,WKC Helmond 1 & 2
gas,171,RWE Generation NL B.V.,NL,WKC Moerdijk
coal,7,CEZ Skawina S.A.,PL,CEZ SKAWINA S.A.
gas,70,PRZEDSIĘBIORSTWO ENERGETYCZNE W SIEDLCACH SP.ZO.O.,PL,CIEPŁOWNIA I ELEKROCIEPŁOWNIE GAZOWE SIEDLCE
coal,82,Fortum Silesia SA,PL,EC Miechowice
coal,46,Fortum Silesia SA,PL,EC Zabrze
coal,25,Elektrociepłownia Andrychów,PL,Elektrociepłownia Andrychów Spółka z o.o.
coal,30,ENEA WYTWARZANIE SP. Z O.O.,PL,ELEKTROCIEPŁOWNIA BIAŁYSTOK
coal,90,Zespół Elektrociepłowni Wrocławskich KOGENERACJA S.A.,PL,ELEKTROCIEPŁOWNIA CZECHNICA
coal,524,Energetyka sp. z o.o.,PL,Elektrociepłownia E-1 Lubin
coal,526,Energetyka sp. z o.o.,PL,Elektrociepłownia E-2 Polkowice
coal,680,Energetyka sp. z o.o.,PL,Elektrociepłownia E-3 Głogów
coal,33,ENERGA Kogeneracja,PL,ELEKTROCIEPŁOWNIA ELBLĄG
coal,50,PGE Energia Ciepła S.A.,PL,ELEKTROCIEPŁOWNIA GDAŃSKA
coal,51,PGE Energia Ciepła S.A.,PL,ELEKTROCIEPŁOWNIA GDYŃSKA
coal,37,ENERGA Kogeneracja,PL,ELEKTROCIEPŁOWNIA KALISZ
coal,40,Elektrociepłownia Mielec Sp. z o.o.,PL,Elektrociepłownia Mielec Sp. z o.o.
coal,26,PGNiG TERMIKA SA,PL,ELEKTROCIEPŁOWNIA PRUSZKÓW
coal,27,PGNiG TERMIKA SA,PL,ELEKTROCIEPŁOWNIA SIEKIERKI
coal,35,Veolia Wschód Sp. z o.o.,PL,Elektrociepłownia Świdnik
coal,78,Zakłady Energetyki Cieplnej S.A.,PL,ELEKTROCIEPŁOWNIA WIECZOREK
coal,91,Zespół Elektrociepłowni Wrocławskich KOGENERACJA S.A.,PL,ELEKTROCIEPŁOWNIA WROCŁAW
coal,87,Veolia Energia Łódź SA,PL,Elektrociepłownia Zakład EC-3 Veolia Energia Łódź
coal,88,Veolia Energia Łódź SA,PL,Elektrociepłownia Zakład EC-4 Veolia Energia Łódź
coal,47,Elektrociepłownia Zduńska Wola Sp. z o.o.,PL,ELEKTROCIEPŁOWNIA ZDUŃSKA WOLA
coal,28,PGNiG TERMIKA SA,PL,ELEKTROCIEPŁOWNIA ŻERAŃ
gas,828,"Elektrociepłownia ""Zielona Góra"" S.A.",PL,ELEKTROCIEPŁOWNIA ZIELONA GÓRA S.A.
coal,23,Zespół Elektrowni Pątnów-Adamów-Konin SA,PL,ELEKTROWNIA ADAMÓW
coal,22,Zespół Elektrowni Pątnów-Adamów-Konin SA,PL,ELEKTROWNIA KONIN
coal,4,ENEA WYTWARZANIE SP. Z O.O.,PL,ELEKTROWNIA KOZIENICE
coal,20,ENERGA Elektrownie Ostrołęka S.A.,PL,ELEKTROWNIA OSTROŁĘKA B
coal,21,Zespół Elektrowni Pątnów-Adamów-Konin SA,PL,ELEKTROWNIA PĄTNÓW
coal,5,Enea Elektrownia Połaniec S.A.,PL,Instalacja do spalania paliw
coal,38,PGE Energia Ciepła S.A.,PL,PGE Energia Ciepła S.A. Oddział nr 1 w Krakowie
coal,6,PGE Energia Ciepła S.A.,PL,PGE Energia Ciepła S.A. Oddział w Rybniku
gas,39,PGE Górnictwo i Energetyka Konwencjonalna S.A.,PL,PGE GiEK S.A. - Elektrociepłownia Lublin-Wrotków
coal,17,PGE Górnictwo i Energetyka Konwencjonalna S.A.,PL,PGE GiEK S.A. - Elektrownia Pomorzany
gas,41,PGE Górnictwo i Energetyka Konwencjonalna S.A.,PL,PGE GiEK S.A. - Oddział Elektrociepłownia Rzeszów
gas,36,PGE Górnictwo i Energetyka Konwencjonalna S.A.,PL,PGE GiEK S.A. -Oddział Elektrociepłownia Gorzów
,53,PGE Górnictwo i Energetyka Konwencjonalna S.A.,PL,PGE GiEK S.A. Oddział Elektrociepłownia Zgierz III
coal,1,PGE Górnictwo i Energetyka Konwencjonalna S.A.,PL,PGE GiEK S.A. Oddział Elektrownia Bełchatów
coal,2,PGE Górnictwo i Energetyka Konwencjonalna S.A.,PL,PGE GiEK S.A. Oddział Elektrownia Opole
coal,3,PGE Górnictwo i Energetyka Konwencjonalna S.A.,PL,PGE GiEK S.A. Oddział Elektrownia Turów
coal,16,PGE Górnictwo i Energetyka Konwencjonalna S.A.,PL,PGE GiEK S.A. Oddział Zespół Elektrowni Dolna Odra
coal,86,PGE Górnictwo i Energetyka Konwencjonalna S.A.,PL,PGE GiEK S.A. Zesp.Elektrociepłowni Bydgoszcz-ECII
coal,72,PGNiG TERMIKA Energetyka Przemysłowa S.A.,PL,PGNiG Termika Energetyka Przemysłowa O Moszczenica
coal,74,PGNiG TERMIKA Energetyka Przemysłowa S.A.,PL,PGNiG TERMIKA Energetyka Przemysłowa S.A.O Pniówek
coal,75,PGNiG TERMIKA Energetyka Przemysłowa S.A.,PL,PGNiG TERMIKA Energetyka Przemysłowa S.A.O. Suszec
coal,11,TAURON WYTWARZANIE S.A.,PL,TAURON Wytw. SA Elektr. Jaworzno III Elektr. II
coal,15,TAURON WYTWARZANIE S.A.,PL,TAURON Wytw. SA O. Elektrownia Siersza w Trzebini
coal,14,TAURON WYTWARZANIE S.A.,PL,TAURON Wytwarzanie SA O. Elek. Łagisza w Będzinie
coal,9,TAURON WYTWARZANIE S.A.,PL,TAURON Wytwarzanie SA O. Elektrownia Jaworzno III
coal,12,TAURON WYTWARZANIE S.A.,PL,TAURON Wytwarzanie SA O. Elektrownia Łaziska
coal,8,TAURON WYTWARZANIE S.A.,PL,TAURON Wytwarzanie SA O. Elektrownia Stalowa Wola
coal,522,Veolia Energia Poznań S.A,PL,Veolia Energia Poznań S.A.-Elektrociepł. Karolin
coal,67,TAURON Ciepło Sp. z o.o.,PL,Zakład Wytwarzania Bielsko Biała EC2
coal,10,TAMEH Polska Sp. z o. o.,PL,Zakład Wytwarzania Blachownia
coal,64,TAURON Ciepło Sp. z o.o.,PL,Zakład Wytwarzania Katowice
coal,31,TAMEH Polska Sp. z o. o.,PL,Zakład Wytwarzania Nowa
coal,45,TAURON Ciepło Sp. z o.o.,PL,Zakład Wytwarzania Tychy
,74,"BAMISO, S.A",PT,"BAMISO, S.A"
gas,120,"Turbogás - Produtora Energética, S.A",PT,Central de Ciclo Combinado da Tapada do Outeiro
oil,195,"Empresa de Electricidade da Madeira, S.A",PT,Central Térmica da Vitória
,215,"Electricidade dos Açores, S.A.",PT,Central Térmica de Santa Bárbara
,216,"Electricidade dos Açores, S.A.",PT,Central Térmica do Belo Jardim
oil,194,"Empresa de Electricidade da Madeira, S.A",PT,Central Térmica do Porto Santo
coal,100,"EDP - Gestão da Produção de Energia, S.A.",PT,Central Termoeléctrica de Sines
oil,72,Atlantic Islands Electricity,PT,Central Termoeléctrica do Caniçal
coal,23,"Tejo Energia, S.A",PT,Central Termoeléctrica do Pego
oil,218,"Electricidade dos Açores, S.A.",PT,Central Termoeléctrica do Pico
oil,217,"Electricidade dos Açores, S.A.",PT,Central Termoelétrica do Caldeirão
,104,"Companhia Térmica Tagol, Unipessoal, Lda",PT,"Companhia Térmica Tagol, Unipessoal, Lda"
gas,253,"Enerlousado, Recursos Energéticos Lda",PT,"Enerlousado, Recursos Energéticos"
gas,192,"Europa&c Energia Viana, S.A.",PT,"Europa&c Energia Viana, S.A."
,137,"SCC-Sociedade Central de Cervejas e Bebidas, S.A.",PT,"SCC-Sociedade Central de Cervejas e Bebidas, S.A."
gas,81,"Evertis Energia, S.A.",PT,"Selenis Energia, S.A."
,47,"Unicer, Energia e Ambiente, S.A.",PT,"Unicer-Central Prod Comb.Calor Elect,Leça do Balio"
gas,75,Veolia Energie Iasi SA,RO,C.E.T. Iasi I
coal,76,Veolia Energie Iasi SA,RO,CET Iasi II
coal,84,COMPANIA LOCALA DE TERMOFICARE COLTERM SA,RO,CT TIMISOARA Sud
oil,104,ELECTROCENTRALE BUCURESTI S.A,RO,CTE Bucuresti Vest
oil,106,ELECTROCENTRALE BUCURESTI S.A,RO,CTE Grozavesti
gas,103,ELECTROCENTRALE BUCURESTI S.A,RO,CTE Progresu
coal,110,COMPLEXUL ENERGETIC HUNEDOARA,RO,Electrocentrale Deva
coal,3,S Complexul Energetic Oltenia SA,RO,S Complexul Energetic Oltenia S.A. -SE Craiova II
coal,86,S Complexul Energetic Oltenia SA,RO,S Complexul Energetic Oltenia SA -  SE Isalnita
coal,88,S Complexul Energetic Oltenia SA,RO,S Complexul Energetic Oltenia SA-SE Turceni
coal,209,SC TERMOELECTRICA SA,RO,S.C. P.E.E.T. ELECTROCENTRALA PAROSENI S.A.
