registry_code,year,exports,imports,RE,final_electricity_consumption,GDP
HR,2013,7391,11260,9381.264999999999,15435,43750.4
HR,2014,6945,10898,10053.842,15180,43712.1
HR,2015,6369,13158,7674.376,15734,44761.4
HR,2016,6867,12398,8568.812,15715,46344.3
HR,2017,5204.2,12157.9,7316,16425.1,47698.1
HU,2009,5459,10972,2894.703,35253,98182.7
HU,2010,4702,9897,3019.485,36007,98826
HU,2011,8021,14664,2708.192,36358,100464.2
HU,2012,9003,16970,2645.666,36400,98825.3
HU,2013,4758,16635,2787.293,36241,100894.3
HU,2014,5689,19079,3151.405,35899,105156.7
HU,2015,6249,19935,3229.266,37439,108875.5
HU,2016,5240,17951,3258.131,38262,111358.8
HU,2017,6925,19803,3468,39641,115965.8
IE,2009,175.464,939.217,4464.228,25432.817,164750.4
IE,2010,289.561,759.8869999999999,3905.644,25634.023,167732.3
IE,2011,241.527,731.622,5423.595,25086.339,168308.4
IE,2012,370.13,783.605,5468.041,24387.332,168688.3
IE,2013,382.971,2625.164,5972.319,24405.272,170968.3
IE,2014,703.958,2853.015,6671.224,24312.922,185597.5
IE,2015,1078.605,1751.975,8146.268,25197.44,232298.6
IE,2016,1583.011,871.263,7803.966,25689.641,240842.1
IE,2017,1794.91,1116.408,9080.441999999999,25967.592,260459.4
IS,2009,,,16832.959,15825,10700.1
IS,2010,,,17057.403,15861,10332.4
IS,2011,,,17208.303,16152,10526.9
IS,2012,,,17546.072,16523,10663.3
IS,2013,,,18110.614,16989,11104.1
IS,2014,,,18119.816,17009,11335.4
IS,2015,,,18794.666,17665,11873.7
IS,2016,,,18546.086,17479,12660.6
IS,2017,,,19236.448,18061.161,13218.1
IT,2009,2111,47070,73560.55899999999,299915,1584138.4
IT,2010,1827,45987,80254.264,309883,1611279.4
IT,2011,1787,47519,84895.649,313791,1622676.5
IT,2012,2304,45407,94201.482,307222,1574306.1
IT,2013,2200,44338,113906.535,297289,1545322.1
IT,2014,3031,46747,122389.766,291085,1545251.8
IT,2015,4471,50849,110336.218,297180,1557278.5
IT,2016,6154,43181,109847.056,295509,1577206.6
IT,2017,5134.231,42894.881,105723.616,301880.515,1604274.1
LT,2009,7715,4783,1398.924,9254,27575.5
LT,2010,2184,8174,1665.972,9323,28027.7
LT,2011,1347,8086,1688.532,9543,29721.4
LT,2012,1441,8060,1696.592,9724,30858.8
LT,2013,1127,8073,2073.304,9770,31938.5
LT,2014,898,8521,2199.571,10009,33068.3
LT,2015,730,7938,2354.427,10165,33736.5
LT,2016,2831,11106,2685.348,10626,34530.4
LT,2017,3249,11926.2,3116.917,10957.5,35959.9
LU,2009,2604.481,6022.472,994.68,6112.469,38313.9
LU,2010,3216.069,7279.51,1628.36,6592.973,40177.8
LU,2011,2614.385,7096.34,1313.279,6484.294,41198
LU,2012,2621.781,6732.098,1369.175,6235.985,41052.8
LU,2013,1907.517,6851.524,1409.118,6198.754,42553
LU,2014,2067.391,6961.176,1458.209,6182.343,44381.4
LU,2015,1919.441,7518.755,1862.156,6224.157,46119.4
LU,2016,1419.691,7718.393,1869.942,6367.278,47231.5
LU,2017,1388.648,7566.69,1936.633,6393.793,47961.6
LV,2009,2605,4259,3555.067,6103,18518.4
LV,2010,3100,3973,3634.933,6215,17788.6
LV,2011,2764,4009,3077.262,6191,18923.7
LV,2012,3244,4935,4109.769,6848,19687.2
LV,2013,3650,5005,3533.431,6576,20165.6
LV,2014,3023,5340,2802.411,6582,20540.3
LV,2015,3425,5246,2777.22,6461,21150.7
LV,2016,3795,4828,3481.586,6482,21587.4
LV,2017,4137.077,4072.912,5461.7,6484.641,22588.3
MA,2009,,,0,1707,6373.7
MA,2010,,,.68,1824,6599.5
MA,2011,,,9.9,1866,6685.8
MA,2012,,,25.661,1946,6872.4
MA,2013,,,35.447,1950,7189.3
MA,2014,,,74.89,2005,7815.2
MA,2015,,1054,101.693,2114,8660.6
MA,2016,,1525,135.525,2114,9152.200000000001
MA,2017,35.699,897.066,165.041,2331.826,9767.6
NL,2009,10561,15452,10835.016,108799,630718.1
NL,2010,12808,15583,11196.671,112300,639187
NL,2011,11531,20620,12320.182,112958,649102
NL,2012,15045.862,32155.723,12480.756,108902.769,642414
NL,2013,15015,33252,12105.834,110319.452,641577.7
NL,2014,18128,32855,11647.501,107291.285,650709.9
NL,2015,22011.878,30760.009,13684.975,110458.918,663458.4
NL,2016,19343.254,24257.626,14776.898,112000.401,677999.5
NL,2017,18951.503,22457.715,17433.26,111445.266,697735.4
NO,2009,14634,5651,127281,112574,321504.4
NO,2010,7124,14673,118375,119321,323760.9
NO,2011,14329,11254,123175,113867,326938.5
NO,2012,22006,4191,144684,117382,335775.9
NO,2013,15141,10135,130976,118074,339248
NO,2014,21932,6347,138660,115676,345929.7
NO,2015,22016,7371,141221,118643,352734.5
NO,2016,22151,5740,146354,121245,356514.3
